mean,std,ptp,slope,zcr,spike_count,hjorth_mobility,hjorth_complexity,rms_first_diff,cluster
1.2632985,0.002739133,0.014767051,-6.263933e-06,0.33,0.06,1.05154,1.216847,0.002880825,0
1.2633414,0.0032250385,0.017404437,2.846677e-06,0.28,0.05,0.9257579,1.2738494,0.0029856034,0
1.2628437,0.0029913222,0.017991066,-2.60136e-05,0.23,0.04,0.87477714,1.3574073,0.0026169627,0
1.2622149,0.0021915224,0.011898994,8.723261e-06,0.29,0.06,0.9474366,1.3586217,0.0020764424,0
1.2622478,0.002232828,0.011116505,-1.2318502e-05,0.28,0.06,0.9095604,1.420565,0.002030927,0
1.2613834,0.0023121084,0.014162779,-2.663479e-05,0.24,0.04,0.8731492,1.4552494,0.0020188105,0
1.2609881,0.0027257798,0.016828895,1.811111e-05,0.32,0.03,0.99208426,1.2064011,0.0027046206,0
1.2587733,0.012141419,0.05517602,-6.508166e-05,0.27,0.07,1.1125221,1.0670537,0.013509784,0
1.2924597,0.057629514,0.258101,0.0013198134,0.11,0.0,0.3731116,2.8993192,0.021604348,1
1.3412225,0.05917865,0.24769485,0.00019325907,0.14,0.0,0.38864806,2.7711794,0.023000322,1
1.3186257,0.05441038,0.24795532,-0.0015628191,0.15,0.0,0.41390014,2.8379104,0.022649642,1
1.3373053,0.0724853,0.23059046,0.0019257731,0.01,0.0,0.24803773,4.4009056,0.018056458,1
1.4270848,0.058858547,0.22521555,0.0013875026,0.03,0.0,0.1349611,4.4097548,0.008181049,1
1.4554367,0.011875976,0.040614486,-0.0003581352,0.07,0.0,0.276836,4.4801054,0.0033025555,1
1.4446281,0.0053086514,0.023683786,-0.000118579446,0.14,0.04,0.5697951,2.2290978,0.0030250351,0
1.4487109,0.008505832,0.028897524,0.00027641768,0.05,0.01,0.20098692,6.0613885,0.001725311,1
1.4607581,0.011397387,0.057068586,0.00023550693,0.03,0.01,0.3983582,2.770346,0.0045443256,1
1.4621135,0.028400315,0.112152696,-0.00032450797,0.05,0.0,0.17925705,5.4968934,0.0051562754,1
1.4414194,0.043622587,0.14548588,-0.00051047973,0.07,0.0,0.17588867,3.2733867,0.007682539,1
1.4558525,0.059075255,0.20385385,0.0016575513,0.05,0.0,0.16541824,3.633005,0.009920315,1
1.5120671,0.059504334,0.19740391,0.0014715614,0.03,0.0,0.14242212,3.8812885,0.008642664,1
1.5606627,0.044291478,0.16180372,0.0010290401,0.01,0.0,0.12818155,4.0313983,0.005694122,1
