pc1,pc2,pc3,cluster
-1.9891907,0.44181553,-0.3672245,0
-1.3373129,0.040737305,-0.2057602,0
-0.84586203,-0.3427519,-0.14583862,0
-1.6169939,0.064858116,-0.32432324,0
-1.4853423,-0.031937793,-0.33281395,0
-0.8939079,-0.4286303,-0.21587907,0
-1.3544172,-0.03592056,-0.20758907,0
-1.3806621,1.9719357,-0.03912791,0
4.899469,2.037588,3.128476,1
4.605501,2.1400232,2.4802868,1
4.5348563,2.3741992,-0.1743523,1
6.1938252,0.84878707,4.0708175,1
5.6198997,-0.81802905,4.3305387,1
2.8951864,-3.0853236,1.8462362,1
0.29510581,-1.6280386,1.6362001,0
3.5324938,-3.5864134,1.5410763,1
2.2052217,-2.0807261,2.0103788,1
4.620328,-2.120791,0.7252478,1
4.303984,-0.56357986,0.38940883,1
5.277209,-0.021163132,3.184427,1
5.3651686,-0.5047412,3.532004,1
4.856536,-1.5427266,3.2975416,1
3.1385515,-2.7873278,2.3962643,1
4.0937443,-3.3688097,2.5143778,1
1.3758515,-2.7365096,2.160077,1
-0.07365045,-1.4118155,1.8858547,0
0.4522351,-1.7159275,1.8004181,0
-0.7033664,-1.1645632,1.1480372,0
-0.5225493,-0.87725055,0.974008,0
0.60532004,-0.90456086,1.11287,0
-0.16439717,-0.28016776,0.67370296,0
-0.1792694,-0.80771196,0.41864008,0
-0.9361939,-0.6092056,0.13908647,0
-1.2732884,-0.26964673,0.052020594,0
-1.0253888,-0.29146582,0.08952614,0
-0.76864517,-0.5303999,0.061066877,0
-0.11144349,-1.0615553,0.14245228,0
-0.3636107,-0.8460698,0.023558049,0
-0.902202,-0.3748444,-0.09635332,0
-1.3131397,0.08717761,-0.15138258,0
-1.6810045,0.2591214,-0.2383289,0
-1.1825205,-0.19611083,-0.13932179,0
-1.8541687,0.19141965,-0.34855956,0
-1.3251364,-0.21924552,-0.24611606,0
-1.0413849,-0.3531614,-0.11372447,0
-0.99623656,-0.3817159,-0.12370424,0
3.668336,-2.18022,-0.39960238,1
3.1097524,-1.1623719,-0.4341127,1
2.694558,-0.98924935,0.046888463,1
3.6832895,-1.0670539,-0.5006918,1
5.305312,-1.917193,1.028796,1
0.33085784,-1.1203895,0.2610722,0
0.15863454,-1.2249779,0.14274895,0
-0.091361076,-1.2074168,0.17117123,0
-0.4634528,-0.7299242,0.23356563,0
-0.78338605,-0.3902783,0.23955517,0
0.104266204,-0.9796667,0.20005037,0
-0.52183425,-0.7567349,0.12784795,0
0.15764558,-1.3351059,0.21623293,0
-1.1515436,-0.31939057,-0.11621633,0
-0.95188963,-0.26985142,0.0052527306,0
-1.4637,0.056939714,-0.13506475,0
-1.0939373,-0.29805902,-0.069668084,0
-1.4015256,-0.06415419,-0.1871919,0
-1.5783776,0.1607444,-0.24648392,0
-1.0256442,-0.0047361087,-0.09507877,0
-0.7797761,-0.27864742,-0.16279298,0
-1.2558867,-0.16014747,-0.2094964,0
-1.0603341,-0.10382285,-0.098300174,0
-1.0546302,-0.18839015,-0.1387277,0
-1.4811263,-0.015595034,-0.29734078,0
1.0910885,-0.75168025,0.40044746,0
1.0367717,0.2889696,0.2734958,0
3.850863,0.9462116,0.38921314,1
4.3380013,0.15086229,1.5127232,1
-1.5406969,-0.030087141,-0.19367486,0
-2.3081174,0.41923565,-0.38722944,0
-1.6927865,-0.002313946,-0.24529926,0
-1.6814872,0.18409705,-0.20994942,0
-1.6586041,0.1314304,-0.2515916,0
-1.2701689,-0.49169773,-0.16185105,0
-0.04293153,0.6694867,0.29248232,0
-0.32082495,2.0326023,0.5259739,0
-0.10425701,1.8643575,0.2998307,0
-0.19412401,1.6671752,0.51298946,0
-0.35271955,1.3191102,0.25260624,0
-0.59067744,0.80796975,0.15998855,0
-0.22608887,0.666862,0.3767496,0
-0.7931403,1.9659303,0.120267525,0
-0.49577424,2.051714,0.39606246,0
0.83797145,2.4346187,0.28485718,0
1.47491,2.2060502,-0.5977024,0
4.9414268,-2.3585713,-1.8132728,1
0.42718267,-0.6561342,-1.0069886,0
1.6518023,-1.0222713,-0.9062407,1
2.9411488,-1.8623983,-1.0765533,1
1.2752737,-0.8293796,-0.5584916,0
4.2186356,-0.21966219,1.4435636,1
2.1837206,0.9826603,1.5503765,1
0.58976054,0.8847112,0.7964248,0
2.1472974,-2.3230023,0.82945955,1
-0.96449924,0.19880588,0.7049684,0
-0.4981063,-0.06516995,0.8529097,0
-1.3861519,0.9743681,0.45655623,0
-1.8999467,2.0856466,0.4388551,0
-1.2722347,1.6666898,0.45139992,0
-1.2514384,1.7219365,0.2419426,0
-1.3087938,2.0141203,0.16228731,0
-0.9176456,1.2331369,0.31755045,0
0.11297019,-0.6508559,0.07784325,0
-1.3568615,-0.13459335,-0.18803507,0
-1.9803066,0.4285444,-0.3288605,0
-1.8810698,0.42588142,-0.25447735,0
-1.60209,0.15174931,-0.20277736,0
-0.9406165,-0.3457397,-0.06126556,0
-1.1289907,-0.20829295,-0.06979178,0
-1.3805652,-0.04166535,-0.13796228,0
-1.4074471,-0.17857218,-0.2463736,0
-1.4722975,-0.08950033,-0.25352123,0
-1.8090136,0.32819578,-0.32395926,0
-1.4704521,0.015131857,-0.26371357,0
-0.5322013,0.82716954,0.16792637,0
-0.71458566,0.96194685,0.028774496,0
0.051673766,0.10224215,0.049003646,0
-0.10198021,0.2016678,0.26501352,0
-1.6677815,0.120265864,-0.342649,0
-1.0547705,-0.2652489,-0.12133426,0
-1.5415719,0.12291836,-0.18943547,0
-1.9977417,0.3916028,-0.33914858,0
-1.5974547,0.08652078,-0.27245453,0
-1.4588435,-0.083592385,-0.22236311,0
-1.4170921,-0.21919858,-0.19318168,0
-1.835563,0.24048299,-0.33473942,0
-0.398365,-0.7075346,-0.0023817322,0
-0.75114244,-0.4246258,-0.087950125,0
-1.5223763,0.016990297,-0.30617973,0
-0.7423472,-0.70272166,-0.05938392,0
-1.1807514,-0.10001874,-0.13785103,0
-0.66570526,-0.47815475,-0.10392665,0
-0.7859713,-0.6335938,-0.17035481,0
-1.4430181,-0.09088151,-0.35752454,0
-1.2927047,-0.2406535,-0.2618225,0
-1.276084,-0.14056773,-0.21469398,0
-1.623681,0.16739169,-0.31423157,0
-1.7080988,0.20322604,-0.3301266,0
-1.3510972,-0.13487647,-0.23341806,0
-1.5147277,-0.0057830685,-0.25608808,0
-1.711992,0.24430694,-0.29764074,0
-0.8386688,-0.41621178,-0.07209495,0
-0.8215303,-0.39159817,0.0040705176,0
-1.6401513,0.1951731,-0.2251452,0
-1.6639823,-0.032480497,-0.30112323,0
-1.1052206,-0.57283705,-0.1413946,0
-1.2205621,-0.25152072,-0.16529186,0
-1.182944,-0.2511034,-0.1788942,0
-1.0482845,-0.5425139,-0.21338947,0
-1.3318465,-0.17276879,-0.27839595,0
-1.3636572,-0.041619334,-0.3209482,0
-1.3488749,-0.19979246,-0.28312904,0
-1.0435554,-0.45601943,-0.1948824,0
-1.1669995,-0.35604042,-0.263794,0
-1.6747272,-0.08464519,-0.34425214,0
-1.1924679,-0.2940855,-0.2444844,0
-0.692462,-0.51973575,-0.059618913,0
